sample name	Collection Timestamp	Country	Depth	Environment 	Host Name	Host ID	Latitude	Longitude	Processing Lab 	pH	Life Stage	Temp 	Salinity
1740.1740.14.VIII.09.2.003.EMP.Thomas.sponges.16S.L007	2009-08-14 00:00:00	GAZ:United States of America	493.5	ENVO:reef	sponges	469	28.45833	-79.72327	HBOI.McCarthy				
1740.1740.15.EMP.Thomas.sponges.16S.L007	2012-07-19 00:00:00	GAZ:Mexico	12.1	ENVO:reef	black-ball sponge	310	18.40198	-87.40878	Russell Hill Lab				
1740.1740.16.EMP.Thomas.sponges.16S.L007	2012-07-19 00:00:00	GAZ:Mexico	12.1	ENVO:reef	black-ball sponge	311	18.40198	-87.40878	Russell Hill Lab				
1740.1740.16.V.00.1.005.EMP.Thomas.sponges.16S.L007	2000-05-16 00:00:00	GAZ:Bonaire Island	253	ENVO:reef	sponges	457	12.11078	-68.31493	HBOI.McCarthy				
1740.1740.17.EMP.Thomas.sponges.16S.L007	2012-07-19 00:00:00	GAZ:Mexico	12.1	ENVO:reef	black-ball sponge	312	18.40198	-87.40878	Russell Hill Lab				
1740.1740.18.EMP.Thomas.sponges.16S.L007	2012-07-19 00:00:00	GAZ:Mexico	12.1	ENVO:reef	black-ball sponge	313	18.40198	-87.40878	Russell Hill Lab				
1740.1740.19.EMP.Thomas.sponges.16S.L007	2012-07-19 00:00:00	GAZ:Mexico	12.1	ENVO:reef	black-ball sponge	314	18.40198	-87.40878	Russell Hill Lab				
1740.1740.2.EMP.Thomas.sponges.16S.L007	2012-07-16 00:00:00	GAZ:The Bahamas	12.1	ENVO:reef	sponges	300	26.56295	-77.8815	Russell Hill Lab				
1740.1740.20.EMP.Thomas.sponges.16S.L007	2012-07-19 00:00:00	GAZ:Mexico	12.1	ENVO:reef	black-ball sponge	315	18.40198	-87.40878	Russell Hill Lab				
1740.1740.20.X.00.1.015.EMP.Thomas.sponges.16S.L007	2000-05-20 00:00:00	GAZ:The Bahamas	146.3	ENVO:reef	sponges	455	26.51255	-78.58482	HBOI.McCarthy				
1740.1740.21.EMP.Thomas.sponges.16S.L007	2012-07-19 00:00:00	GAZ:Mexico	12.1	ENVO:reef	black-ball sponge	316	18.40198	-87.40878	Russell Hill Lab				
1740.1740.21.X.03.1.001.EMP.Thomas.sponges.16S.L007	2003-05-21 00:00:00	GAZ:The Bahamas	160.9	ENVO:reef	sponges	458	26.51123	-78.58698	HBOI.McCarthy				
1740.1740.21.X.03.3.002.EMP.Thomas.sponges.16S.L007	2003-05-21 00:00:00	GAZ:The Bahamas	150.6	ENVO:reef	sponges	459	26.51114	-78.5877	HBOI.McCarthy				
1740.1740.21.X.03.5.008.EMP.Thomas.sponges.16S.L007	2003-05-21 00:00:00	GAZ:The Bahamas	134.7	ENVO:reef	sponges	460	26.51122	-78.58708	HBOI.McCarthy				
1740.1740.22.EMP.Thomas.sponges.16S.L007	2012-07-19 00:00:00	GAZ:Mexico	12.1	ENVO:reef	black-ball sponge	317	18.40198	-87.40878	Russell Hill Lab				
1740.1740.23.EMP.Thomas.sponges.16S.L007	2012-07-19 00:00:00	GAZ:Mexico	12.1	ENVO:reef	black-ball sponge	318	18.40198	-87.40878	Russell Hill Lab				
1740.1740.24.EMP.Thomas.sponges.16S.L007	2012-07-19 00:00:00	GAZ:Mexico	12.1	ENVO:reef	black-ball sponge	319	18.40198	-87.40878	Russell Hill Lab				
1740.1740.24.VIII.90.1.005.EMP.Thomas.sponges.16S.L007	1990-08-24 00:00:00	GAZ:Canary Islands	21.3	ENVO:reef	sponges	539	28.335	-16.91167	Lopez Lab				
1740.1740.25.EMP.Thomas.sponges.16S.L007	2012-07-19 00:00:00	GAZ:Mexico	12.1	ENVO:reef	black-ball sponge	320	18.40198	-87.40878	Russell Hill Lab				
