	Collection Timestamp	Country	Depth	Environment 	Host Name	Host ID	Latitude	Longitude	Processing Lab 	pH	Life Stage	Temp 	Salinity
1740.Webster.3.E2.238.EMP.Thomas.sponges.16S.L008	2012-04-23 00:00:00	GAZ:Australia	1.5	ENVO:reef	sponges	719	-18.68543	146.51218	ZZ	Unknown	Adult	28.4	Unknown
1740.Webster.4.D3.321.EMP.Thomas.sponges.16S.L008	2010-12-13 00:00:00	GAZ:Madagascar	Unknown	ENVO:reef	sponges	808	-18.59297	46.48359	Upright -80 Rack 3C7	Unknown	Larvae	28	Unknown
1740.Webster.2.F10.163.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	966	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.2.D1.130.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	942	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.4.C1.307.EMP.Thomas.sponges.16S.L008	2012-12-16 00:00:00	GAZ:Australia	1.5	ENVO:reef	sponges	919	-18.68543	146.51218	ZZ	Unknown	Adult	28.4	Unknown
1740.Webster.4.A7.289.EMP.Thomas.sponges.16S.L008	1984-06-27 00:00:00	GAZ:Australia	22.0	ENVO:reef	Unknown	649	-18.6397	147.04775	ZZ	Unknown	Adult	Unknown	Unknown
1740.Webster.3.F7.255.EMP.Thomas.sponges.16S.L008	2012-04-21 00:00:00	GAZ:Australia	1.5	ENVO:reef	sponges	736	-18.5996	146.49222	ZZ	Unknown	Adult	28.6	Unknown
1740.Webster.3.B10.210.EMP.Thomas.sponges.16S.L008	2012-04-09 00:00:00	GAZ:Taiwan	10.0	ENVO:reef	sponges	691	-16.75408	145.98733000000001	ZZ	Unknown	Adult	26.8	Unknown
1740.Webster.3.F9.257.EMP.Thomas.sponges.16S.L008	2012-04-21 00:00:00	GAZ:Australia	1.5	ENVO:reef	sponges	738	-18.5996	146.49222	ZZ	Unknown	Adult	28.6	Unknown
1740.Webster.2.C6.123.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	943	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.3.E1.237.EMP.Thomas.sponges.16S.L008	2012-04-23 00:00:00	GAZ:Australia	1.5	ENVO:reef	sponges	718	-18.68543	146.51218	ZZ	Unknown	Adult	28.4	Unknown
1740.Webster.2.F9.162.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	965	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.3.B12.212.EMP.Thomas.sponges.16S.L008	2012-04-09 00:00:00	GAZ:Taiwan	10.0	ENVO:reef	sponges	693	-16.75408	145.98733000000001	ZZ	Unknown	Adult	26.8	Unknown
1740.Webster.4.C9.315.EMP.Thomas.sponges.16S.L008	2012-12-16 00:00:00	GAZ:Australia	Unknown	ENVO:reef	sponges	899	-18.68543	146.51218	ZZ	Unknown	Larvae	28	Unknown
1740.Webster.4.F1.343.EMP.Thomas.sponges.16S.L008	2011-01-04 00:00:00	GAZ:Madagascar	Unknown	ENVO:reef	sponges	793	-18.59297	46.48359	Upright -80 Rack 3C16	Unknown	Larvae	28	Unknown
1740.Webster.3.F3.251.EMP.Thomas.sponges.16S.L008	2012-04-21 00:00:00	GAZ:Australia	1.5	ENVO:reef	sponges	732	-18.5996	146.49222	ZZ	Unknown	Adult	28.6	Unknown
1740.Webster.2.F5.158.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	958	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.3.H6.278.EMP.Thomas.sponges.16S.L008	2010-10-22 00:00:00	GAZ:Australia	2.0	ENVO:reef	sponges	759	-15.33242	125.77433	ZZ	Unknown	Adult	Unknown	Unknown
1740.Webster.3.A11.199.EMP.Thomas.sponges.16S.L008	2012-04-09 00:00:00	GAZ:Taiwan	10.0	ENVO:reef	sponges	680	-16.75408	145.98733000000001	ZZ	Unknown	Adult	26.8	Unknown
1740.Webster.3.F6.254.EMP.Thomas.sponges.16S.L008	2012-04-21 00:00:00	GAZ:Australia	1.5	ENVO:reef	sponges	735	-18.5996	146.49222	ZZ	Unknown	Adult	28.6	Unknown
1740.Webster.3.H10.282.EMP.Thomas.sponges.16S.L008	2011-10-19 00:00:00	GAZ:Australia	16.0	ENVO:reef	sponges	763	-15.3363	123.5129	ZZ	Unknown	Adult	Unknown	Unknown
1740.Webster.2.G11.176.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	967	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.3.B4.204.EMP.Thomas.sponges.16S.L008	2012-04-09 00:00:00	GAZ:Taiwan	10.0	ENVO:reef	sponges	685	-16.75408	145.98733000000001	ZZ	Unknown	Adult	26.8	Unknown
1740.Webster.2.E3.144.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	995	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.2.G5.170.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	955	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.4.C4.310.EMP.Thomas.sponges.16S.L008	2012-12-16 00:00:00	GAZ:Australia	Unknown	ENVO:reef	sponges	656	-18.68543	146.51218	ZZ	Unknown	Larvae	28	Unknown
1740.Webster.3.C3.215.EMP.Thomas.sponges.16S.L008	2012-06-14 00:00:00	GAZ:Australia	12.0	ENVO:reef	sponges	696	-18.81707	147.63232	ZZ	Unknown	Adult	23.3	Unknown
1740.Webster.4.E10.340.EMP.Thomas.sponges.16S.L008	2011-01-01 00:00:00	GAZ:Madagascar	Unknown	ENVO:reef	sponges	803	-18.59297	46.48359	Upright -80 Rack 3C15	Unknown	Larvae	28	Unknown
1740.Webster.2.G12.177.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	968	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.2.D6.135.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	983	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.3.A5.193.EMP.Thomas.sponges.16S.L008	2012-04-09 00:00:00	GAZ:Taiwan	10.0	ENVO:reef	sponges	674	-16.75408	145.98733000000001	ZZ	Unknown	Adult	26.8	Unknown
1740.Webster.2.D2.131.EMP.Thomas.sponges.16S.L008	2012-01-14 00:00:00	GAZ:Australia	1.0	ENVO:reef	sponges	946	-18.84478	147.64401999999998	Upright -80 Rack 4BA3	Unknown	Larvae	28	Unknown
1740.Webster.4.A2.284.EMP.Thomas.sponges.16S.L008	1998-10-23 00:00:00	GAZ:Australia	0.0	ENVO:reef	sponges	765	-20.4515	116.84066999999999	ZZ	Unknown	Adult	Unknown	Unknown
